Year,Region,gruppe.beschaeftigt,Value
2007,Enzkreis,Frauen in Teilzeit,6869.0
2008,Enzkreis,Frauen in Teilzeit,7077.0
2009,Enzkreis,Frauen in Teilzeit,7182.0
2010,Enzkreis,Frauen in Teilzeit,7497.0
2011,Enzkreis,Frauen in Teilzeit,9469.0
2012,Enzkreis,Frauen in Teilzeit,9907.0
2013,Enzkreis,Frauen in Teilzeit,10109.0
2014,Enzkreis,Frauen in Teilzeit,10433.0
2015,Enzkreis,Frauen in Teilzeit,10925.0
2016,Enzkreis,Frauen in Teilzeit,11341.0
2017,Enzkreis,Frauen in Teilzeit,11733.0
2018,Enzkreis,Frauen in Teilzeit,12151.0
2019,Enzkreis,Frauen in Teilzeit,12579.0
2020,Enzkreis,Frauen in Teilzeit,12694.0
2021,Enzkreis,Frauen in Teilzeit,12715.0
2007,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],40.0
2008,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],40.6
2009,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.3
2010,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2011,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.3
2012,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.1
2013,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.4
2014,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2015,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.8
2016,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.6
2017,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2018,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2019,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2020,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.6
2021,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen [%],41.6
2007,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],88.0
2008,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],88.0
2009,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],90.0
2010,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],88.0
2011,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],87.0
2012,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],87.0
2013,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],87.0
2014,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],87.0
2015,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],86.0
2016,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],86.0
2017,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],86.0
2018,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],86.0
2019,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],85.0
2020,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],85.0
2021,Enzkreis,Sozialversicherungspflichtig beschäftigte Frauen in Teilzeit [%],84.0
