Year,Units,Beschäftigung.Enzkreis,Value
2013,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),10109.0
2014,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),10433.0
2015,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),10925.0
2016,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),11341.0
2017,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),11733.0
2018,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),12151.0
2019,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),12579.0
2020,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),12694.0
2021,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),12715.0
2007,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],40.0
2008,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],40.6
2009,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.3
2010,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2011,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.3
2012,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.1
2013,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.4
2014,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2015,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.8
2016,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.6
2017,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2018,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2019,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.5
2020,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.6
2021,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.6
2022,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Frauen [%],41.8
2007,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],60.0
2008,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],59.4
2009,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.7
2010,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.5
2011,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.7
2012,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.9
2013,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.6
2014,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.5
2015,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.2
2016,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.4
2017,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.5
2018,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.5
2019,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.5
2020,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.4
2021,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.4
2022,Sozialversicherungspflichtige Beschäftigung (%),Sozialversicherungspflichtig beschäftigte Männer [%],58.2
2007,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],87.9
2008,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],88.1
2009,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],89.8
2010,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],88.3
2011,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],86.8
2012,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],86.9
2013,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],87.2
2014,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],86.5
2015,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],86.0
2016,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],85.6
2017,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],85.6
2018,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],85.5
2019,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],85.3
2020,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],85.2
2021,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],83.7
2022,Sozialversicherungspflichtige Beschäftigung (%),Svb Frauen in Teilzeit [%],82.8
2007,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],12.1
2008,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],11.9
2009,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],10.2
2010,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],11.7
2011,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],13.2
2012,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],13.1
2013,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],12.8
2014,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],13.5
2015,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],14.0
2016,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],14.4
2017,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],14.4
2018,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],14.5
2019,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],14.7
2020,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],14.8
2021,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],16.3
2022,Sozialversicherungspflichtige Beschäftigung (%),Svb Männer in Teilzeit [%],17.2
